Country	 Product 	Units Sold	 Manufacturing Price 	 Sale Price 	 Gross Sales 	 Discounts 	  Sales 	 COGS 	 Profit 	Date	 Month Name 	Year	
United Kingdom	 Luxe 	3237	 $260.00 	 $350.00 	" $1,132,950.00 "	 $-   	" $1,132,950.00 "	" $715,000.00 "	" $417,950.00 "	2/1/2019	 February 	2019	
United States of America	 Luxe 	630	 $260.00 	 $12.00 	" $7,560.00 "	 $-   	" $7,560.00 "	" $5,859.00 "	" $1,701.00 "	4/1/2019	 April 	2019	
India	 Luxe 	4210	 $260.00 	 $125.00 	" $526,250.00 "	 $-   	" $526,250.00 "	" $506,340.00 "	" $19,910.00 "	4/1/2019	 April 	2019	
United Kingdom	 Luxe 	1127	 $260.00 	 $20.00 	" $22,540.00 "	 $-   	" $22,540.00 "	" $18,990.00 "	" $3,550.00 "	6/1/2019	 June 	2019	
India	 Luxe 	3438	 $260.00 	 $7.00 	" $24,066.00 "	 $-   	" $24,066.00 "	" $8,430.00 "	" $15,636.00 "	7/1/2019	 July 	2019	
United States of America	 Luxe 	2015	 $260.00 	 $12.00 	" $24,180.00 "	 $-   	" $24,180.00 "	" $6,423.00 "	" $17,757.00 "	8/1/2019	 August 	2019	
United States of America	 Luxe 	2534	 $260.00 	 $7.00 	" $17,738.00 "	 $-   	" $17,738.00 "	" $5,715.00 "	" $12,023.00 "	10/1/2019	 October 	2019	
United States of America	 Luxe 	1384	 $260.00 	 $15.00 	" $20,760.00 "	 $-   	" $20,760.00 "	" $6,150.00 "	" $14,610.00 "	12/1/2019	 December 	2019	
United Kingdom	 Vermont 	3561	 $10.00 	 $7.00 	" $24,927.00 "	 $276.15 	" $24,650.85 "	" $19,725.00 "	" $4,925.85 "	1/1/2019	 January 	2019	
United Kingdom	 Vermont 	1823	 $10.00 	 $15.00 	" $27,345.00 "	 $344.40 	" $27,000.60 "	" $22,960.00 "	" $4,040.60 "	2/1/2019	 February 	2019	
United Kingdom	 Vermont 	2795	 $10.00 	 $7.00 	" $19,565.00 "	 $72.10 	" $19,492.90 "	" $5,150.00 "	" $14,342.90 "	5/1/2019	 May 	2019	
United Kingdom	 Burlington 	457	 $120.00 	 $7.00 	" $3,199.00 "	 $44.73 	" $3,154.27 "	" $3,195.00 "	 $(40.73)	11/1/2019	 November 	2019	
Japan	 Mandarin 	3785	 $250.00 	 $7.00 	" $26,495.00 "	 $92.82 	" $26,402.18 "	" $6,630.00 "	" $19,772.18 "	3/1/2019	 March 	2019	
United States of America	 Kensington 	748	 $3.00 	 $12.00 	" $8,976.00 "	 $222.96 	" $8,753.04 "	" $5,574.00 "	" $3,179.04 "	2/1/2019	 February 	2019	
Brazil	 Kensington 	1021	 $3.00 	 $350.00 	" $357,350.00 "	" $4,235.00 "	" $353,115.00 "	" $314,600.00 "	" $38,515.00 "	3/1/2019	 March 	2019	
United States of America	 Kensington 	2076	 $3.00 	 $7.00 	" $14,532.00 "	 $177.03 	" $14,354.97 "	" $12,645.00 "	" $1,709.97 "	7/1/2019	 July 	2019	
Japan	 Kensington 	4316	 $3.00 	 $12.00 	" $51,792.00 "	 $173.40 	" $51,618.60 "	" $4,335.00 "	" $47,283.60 "	9/1/2019	 September 	2019	
United States of America	 Kensington 	2654	 $3.00 	 $125.00 	" $331,750.00 "	 $412.50 	" $331,337.50 "	" $39,600.00 "	" $291,737.50 "	9/1/2018	 September 	2018	
United Kingdom	 Kensington 	4174	 $3.00 	 $12.00 	" $50,088.00 "	 $320.52 	" $49,767.48 "	" $8,013.00 "	" $41,754.48 "	9/1/2019	 September 	2019	
India	 Kensington 	1675	 $3.00 	 $12.00 	" $20,100.00 "	 $91.92 	" $20,008.08 "	" $2,298.00 "	" $17,710.08 "	10/1/2018	 October 	2018	
Brazil	 Kensington 	1572	 $3.00 	 $300.00 	" $471,600.00 "	" $1,482.00 "	" $470,118.00 "	" $123,500.00 "	" $346,618.00 "	10/1/2018	 October 	2018	
Brazil	 Kensington 	3736	 $3.00 	 $350.00 	" $1,307,600.00 "	" $4,889.50 "	" $1,302,710.50 "	" $363,220.00 "	" $939,490.50 "	10/1/2019	 October 	2019	
United Kingdom	 Kensington 	1914	 $3.00 	 $350.00 	" $669,900.00 "	" $7,542.50 "	" $662,357.50 "	" $560,300.00 "	" $102,057.50 "	12/1/2019	 December 	2019	
Brazil	 Royal Oak 	2742	 $5.00 	 $15.00 	" $41,130.00 "	 $332.10 	" $40,797.90 "	" $22,140.00 "	" $18,657.90 "	3/1/2019	 March 	2019	
United States of America	 Royal Oak 	1499	 $5.00 	 $300.00 	" $449,700.00 "	" $6,903.00 "	" $442,797.00 "	" $575,250.00 "	" $(132,453.00)"	4/1/2019	 April 	2019	
United Kingdom	 Royal Oak 	3772	 $5.00 	 $20.00 	" $75,440.00 "	 $275.10 	" $75,164.90 "	" $13,755.00 "	" $61,409.90 "	7/1/2019	 July 	2019	
Japan	 Royal Oak 	1112	 $5.00 	 $7.00 	" $7,784.00 "	 $128.10 	" $7,655.90 "	" $9,150.00 "	" $(1,494.10)"	8/1/2019	 August 	2019	
United States of America	 Royal Oak 	1723	 $5.00 	 $300.00 	" $516,900.00 "	" $7,494.00 "	" $509,406.00 "	" $624,500.00 "	" $(115,094.00)"	9/1/2018	 September 	2018	
United States of America	 Royal Oak 	423	 $5.00 	 $125.00 	" $52,875.00 "	 $828.75 	" $52,046.25 "	" $79,560.00 "	" $(27,513.75)"	10/1/2018	 October 	2018	
United States of America	 Vermont 	2368	 $10.00 	 $15.00 	" $35,520.00 "	 $227.10 	" $35,292.90 "	" $15,140.00 "	" $20,152.90 "	2/1/2019	 February 	2019	
United States of America	 Vermont 	1586	 $10.00 	 $7.00 	" $11,102.00 "	 $314.48 	" $10,787.53 "	" $22,462.50 "	" $(11,674.98)"	4/1/2019	 April 	2019	
United States of America	 Vermont 	3386	 $10.00 	 $125.00 	" $423,250.00 "	 $908.75 	" $422,341.25 "	" $87,240.00 "	" $335,101.25 "	6/1/2019	 June 	2019	
United Kingdom	 Vermont 	852	 $10.00 	 $125.00 	" $106,500.00 "	 $983.75 	" $105,516.25 "	" $94,440.00 "	" $11,076.25 "	6/1/2019	 June 	2019	
Brazil	 Vermont 	2783	 $10.00 	 $125.00 	" $347,875.00 "	" $2,278.75 "	" $345,596.25 "	" $218,760.00 "	" $126,836.25 "	7/1/2019	 July 	2019	
India	 Vermont 	2684	 $10.00 	 $15.00 	" $40,260.00 "	 $112.05 	" $40,147.95 "	" $7,470.00 "	" $32,677.95 "	9/1/2019	 September 	2019	
India	 Vermont 	4393	 $10.00 	 $12.00 	" $52,716.00 "	 $91.92 	" $52,624.08 "	" $2,298.00 "	" $50,326.08 "	10/1/2018	 October 	2018	
United States of America	 Vermont 	4083	 $10.00 	 $300.00 	" $1,224,900.00 "	" $8,715.00 "	" $1,216,185.00 "	" $726,250.00 "	" $489,935.00 "	11/1/2019	 November 	2019	
United Kingdom	 Vermont 	2816	 $10.00 	 $350.00 	" $985,600.00 "	" $7,542.50 "	" $978,057.50 "	" $560,300.00 "	" $417,757.50 "	12/1/2019	 December 	2019	
United Kingdom	 Burlington 	4294	 $120.00 	 $20.00 	" $85,880.00 "	 $772.80 	" $85,107.20 "	" $38,640.00 "	" $46,467.20 "	4/1/2019	 April 	2019	
Brazil	 Burlington 	2856	 $120.00 	 $7.00 	" $19,992.00 "	 $25.34 	" $19,966.66 "	" $1,810.00 "	" $18,156.66 "	5/1/2019	 May 	2019	
Japan	 Burlington 	1407	 $120.00 	 $125.00 	" $175,875.00 "	" $1,153.75 "	" $174,721.25 "	" $110,760.00 "	" $63,961.25 "	8/1/2019	 August 	2019	
United States of America	 Burlington 	3850	 $120.00 	 $125.00 	" $481,250.00 "	 $828.75 	" $480,421.25 "	" $79,560.00 "	" $400,861.25 "	10/1/2018	 October 	2018	
Japan	 Burlington 	2856	 $120.00 	 $7.00 	" $19,992.00 "	 $146.44 	" $19,845.56 "	" $10,460.00 "	" $9,385.56 "	11/1/2018	 November 	2018	
India	 Mandarin 	1265	 $250.00 	 $7.00 	" $8,855.00 "	 $18.41 	" $8,836.59 "	" $1,315.00 "	" $7,521.59 "	3/1/2019	 March 	2019	
Japan	 Mandarin 	3892	 $250.00 	 $350.00 	" $1,362,200.00 "	" $3,302.25 "	" $1,358,897.75 "	" $245,310.00 "	" $1,113,587.75 "	4/1/2019	 April 	2019	
United States of America	 Mandarin 	3068	 $250.00 	 $125.00 	" $383,500.00 "	 $908.75 	" $382,591.25 "	" $87,240.00 "	" $295,351.25 "	6/1/2019	 June 	2019	
United Kingdom	 Mandarin 	2181	 $250.00 	 $125.00 	" $272,625.00 "	 $983.75 	" $271,641.25 "	" $94,440.00 "	" $177,201.25 "	6/1/2019	 June 	2019	
India	 Mandarin 	1356	 $250.00 	 $300.00 	" $406,800.00 "	" $2,958.00 "	" $403,842.00 "	" $246,500.00 "	" $157,342.00 "	9/1/2019	 September 	2019	
Brazil	 Mandarin 	2545	 $250.00 	 $300.00 	" $763,500.00 "	" $1,482.00 "	" $762,018.00 "	" $123,500.00 "	" $638,518.00 "	10/1/2018	 October 	2018	
Brazil	 Mandarin 	1814	 $250.00 	 $350.00 	" $634,900.00 "	" $4,889.50 "	" $630,010.50 "	" $363,220.00 "	" $266,790.50 "	10/1/2019	 October 	2019	
United Kingdom	 Mandarin 	1495	 $250.00 	 $125.00 	" $186,875.00 "	" $2,180.00 "	" $184,695.00 "	" $209,280.00 "	" $(24,585.00)"	11/1/2019	 November 	2019	
United States of America	 Luxe 	1154	 $260.00 	 $12.00 	" $13,848.00 "	 $238.68 	" $13,609.32 "	" $5,967.00 "	" $7,642.32 "	9/1/2018	 September 	2018	
United Kingdom	 Luxe 	4180	 $260.00 	 $15.00 	" $62,700.00 "	 $48.15 	" $62,651.85 "	" $3,210.00 "	" $59,441.85 "	11/1/2018	 November 	2018	
Japan	 Kensington 	1463	 $3.00 	 $125.00 	" $182,875.00 "	" $1,856.25 "	" $181,018.75 "	" $89,100.00 "	" $91,918.75 "	4/1/2019	 April 	2019	
Japan	 Kensington 	215	 $3.00 	 $12.00 	" $2,580.00 "	 $310.80 	" $2,269.20 "	" $3,885.00 "	" $(1,615.80)"	10/1/2019	 October 	2019	
India	 Kensington 	4099	 $3.00 	 $300.00 	" $1,229,700.00 "	" $1,284.00 "	" $1,228,416.00 "	" $53,500.00 "	" $1,174,916.00 "	10/1/2018	 October 	2018	
United Kingdom	 Kensington 	2660	 $3.00 	 $7.00 	" $18,620.00 "	 $300.30 	" $18,319.70 "	" $10,725.00 "	" $7,594.70 "	11/1/2018	 November 	2018	
Japan	 Kensington 	566	 $3.00 	 $350.00 	" $198,100.00 "	" $19,964.00 "	" $178,136.00 "	" $741,520.00 "	" $(563,384.00)"	12/1/2019	 December 	2019	
United States of America	 Royal Oak 	3255	 $5.00 	 $12.00 	" $39,060.00 "	 $274.08 	" $38,785.92 "	" $3,426.00 "	" $35,359.92 "	6/1/2019	 June 	2019	
United States of America	 Royal Oak 	772	 $5.00 	 $20.00 	" $15,440.00 "	 $626.40 	" $14,813.60 "	" $15,660.00 "	 $(846.40)	10/1/2019	 October 	2019	
Brazil	 Royal Oak 	1135	 $5.00 	 $12.00 	" $13,620.00 "	 $165.60 	" $13,454.40 "	" $2,070.00 "	" $11,384.40 "	11/1/2019	 November 	2019	
Brazil	 Royal Oak 	3826	 $5.00 	 $125.00 	" $478,250.00 "	" $4,150.00 "	" $474,100.00 "	" $199,200.00 "	" $274,900.00 "	11/1/2018	 November 	2018	
Japan	 Vermont 	1193	 $10.00 	 $15.00 	" $17,895.00 "	 $708.90 	" $17,186.10 "	" $23,630.00 "	" $(6,443.90)"	2/1/2019	 February 	2019	
United Kingdom	 Vermont 	2530	 $10.00 	 $300.00 	" $759,000.00 "	" $5,508.00 "	" $753,492.00 "	" $229,500.00 "	" $523,992.00 "	5/1/2019	 May 	2019	
India	 Vermont 	3451	 $10.00 	 $300.00 	" $1,035,300.00 "	" $10,368.00 "	" $1,024,932.00 "	" $432,000.00 "	" $592,932.00 "	5/1/2019	 May 	2019	
United States of America	 Vermont 	3059	 $10.00 	 $12.00 	" $36,708.00 "	 $274.08 	" $36,433.92 "	" $3,426.00 "	" $33,007.92 "	6/1/2019	 June 	2019	
Brazil	 Vermont 	3957	 $10.00 	 $125.00 	" $494,625.00 "	" $1,655.00 "	" $492,970.00 "	" $79,440.00 "	" $413,530.00 "	6/1/2019	 June 	2019	
Japan	 Vermont 	3444	 $10.00 	 $12.00 	" $41,328.00 "	 $310.80 	" $41,017.20 "	" $3,885.00 "	" $37,132.20 "	10/1/2019	 October 	2019	
India	 Vermont 	4388	 $10.00 	 $125.00 	" $548,500.00 "	" $2,022.50 "	" $546,477.50 "	" $97,080.00 "	" $449,397.50 "	10/1/2018	 October 	2018	
Brazil	 Vermont 	2106	 $10.00 	 $125.00 	" $263,250.00 "	" $5,362.50 "	" $257,887.50 "	" $257,400.00 "	 $487.50 	10/1/2018	 October 	2018	
United Kingdom	 Vermont 	799	 $10.00 	 $12.00 	" $9,588.00 "	 $428.40 	" $9,159.60 "	" $5,355.00 "	" $3,804.60 "	11/1/2018	 November 	2018	
Japan	 Vermont 	3154	 $10.00 	 $300.00 	" $946,200.00 "	" $11,496.00 "	" $934,704.00 "	" $479,000.00 "	" $455,704.00 "	12/1/2019	 December 	2019	
Japan	 Vermont 	4108	 $10.00 	 $350.00 	" $1,437,800.00 "	" $19,964.00 "	" $1,417,836.00 "	" $741,520.00 "	" $676,316.00 "	12/1/2019	 December 	2019	
Japan	 Vermont 	3760	 $10.00 	 $125.00 	" $470,000.00 "	" $6,822.50 "	" $463,177.50 "	" $327,480.00 "	" $135,697.50 "	12/1/2019	 December 	2019	
United States of America	 Vermont 	377	 $10.00 	 $15.00 	" $5,655.00 "	 $577.50 	" $5,077.50 "	" $19,250.00 "	" $(14,172.50)"	12/1/2018	 December 	2018	
United States of America	 Vermont 	2110	 $10.00 	 $7.00 	" $14,770.00 "	 $281.82 	" $14,488.18 "	" $10,065.00 "	" $4,423.18 "	12/1/2018	 December 	2018	
United Kingdom	 Vermont 	2334	 $10.00 	 $12.00 	" $28,008.00 "	 $253.20 	" $27,754.80 "	" $3,165.00 "	" $24,589.80 "	12/1/2019	 December 	2019	
Brazil	 Vermont 	580	 $10.00 	 $12.00 	" $6,960.00 "	 $260.16 	" $6,699.84 "	" $3,252.00 "	" $3,447.84 "	12/1/2019	 December 	2019	
United States of America	 Burlington 	2610	 $120.00 	 $20.00 	" $52,200.00 "	 $626.40 	" $51,573.60 "	" $15,660.00 "	" $35,913.60 "	10/1/2019	 October 	2019	
India	 Burlington 	1598	 $120.00 	 $350.00 	" $559,300.00 "	" $20,762.00 "	" $538,538.00 "	" $771,160.00 "	" $(232,622.00)"	10/1/2018	 October 	2018	
India	 Burlington 	1459	 $120.00 	 $350.00 	" $510,650.00 "	" $20,139.00 "	" $490,511.00 "	" $748,020.00 "	" $(257,509.00)"	10/1/2019	 October 	2019	
India	 Burlington 	3284	 $120.00 	 $125.00 	" $410,500.00 "	" $2,022.50 "	" $408,477.50 "	" $97,080.00 "	" $311,397.50 "	10/1/2018	 October 	2018	
Brazil	 Burlington 	1197	 $120.00 	 $125.00 	" $149,625.00 "	" $5,362.50 "	" $144,262.50 "	" $257,400.00 "	" $(113,137.50)"	10/1/2018	 October 	2018	
United Kingdom	 Burlington 	3774	 $120.00 	 $12.00 	" $45,288.00 "	 $253.20 	" $45,034.80 "	" $3,165.00 "	" $41,869.80 "	12/1/2019	 December 	2019	
Brazil	 Burlington 	2303	 $120.00 	 $20.00 	" $46,060.00 "	 $217.60 	" $45,842.40 "	" $5,440.00 "	" $40,402.40 "	12/1/2018	 December 	2018	
Brazil	 Burlington 	2572	 $120.00 	 $12.00 	" $30,864.00 "	 $260.16 	" $30,603.84 "	" $3,252.00 "	" $27,351.84 "	12/1/2019	 December 	2019	
Brazil	 Mandarin 	320	 $250.00 	 $125.00 	" $40,000.00 "	" $1,655.00 "	" $38,345.00 "	" $79,440.00 "	" $(41,095.00)"	6/1/2019	 June 	2019	
India	 Mandarin 	2126	 $250.00 	 $300.00 	" $637,800.00 "	" $1,284.00 "	" $636,516.00 "	" $53,500.00 "	" $583,016.00 "	10/1/2018	 October 	2018	
India	 Mandarin 	3275	 $250.00 	 $350.00 	" $1,146,250.00 "	" $20,139.00 "	" $1,126,111.00 "	" $748,020.00 "	" $378,091.00 "	10/1/2019	 October 	2019	
Japan	 Mandarin 	3582	 $250.00 	 $125.00 	" $447,750.00 "	" $6,822.50 "	" $440,927.50 "	" $327,480.00 "	" $113,447.50 "	12/1/2019	 December 	2019	
United States of America	 Mandarin 	783	 $250.00 	 $350.00 	" $274,050.00 "	" $1,862.00 "	" $272,188.00 "	" $69,160.00 "	" $203,028.00 "	12/1/2018	 December 	2018	
Brazil	 Mandarin 	1202	 $250.00 	 $350.00 	" $420,700.00 "	" $13,580.00 "	" $407,120.00 "	" $504,400.00 "	" $(97,280.00)"	12/1/2018	 December 	2018	
India	 Luxe 	4056	 $260.00 	 $300.00 	" $1,216,800.00 "	" $1,554.00 "	" $1,215,246.00 "	" $64,750.00 "	" $1,150,496.00 "	3/1/2019	 March 	2019	
Brazil	 Luxe 	2144	 $260.00 	 $300.00 	" $643,200.00 "	" $6,606.00 "	" $636,594.00 "	" $275,250.00 "	" $361,344.00 "	3/1/2019	 March 	2019	
India	 Luxe 	3502	 $260.00 	 $125.00 	" $437,750.00 "	" $5,690.00 "	" $432,060.00 "	" $273,120.00 "	" $158,940.00 "	5/1/2019	 May 	2019	
India	 Luxe 	1397	 $260.00 	 $350.00 	" $488,950.00 "	" $20,762.00 "	" $468,188.00 "	" $771,160.00 "	" $(302,972.00)"	10/1/2018	 October 	2018	
United States of America	 Luxe 	679	 $260.00 	 $20.00 	" $13,580.00 "	 $494.40 	" $13,085.60 "	" $12,360.00 "	 $725.60 	11/1/2019	 November 	2019	
United Kingdom	 Luxe 	2351	 $260.00 	 $20.00 	" $47,020.00 "	 $376.40 	" $46,643.60 "	" $9,410.00 "	" $37,233.60 "	11/1/2019	 November 	2019	
Japan	 Luxe 	2043	 $260.00 	 $300.00 	" $612,900.00 "	" $11,496.00 "	" $601,404.00 "	" $479,000.00 "	" $122,404.00 "	12/1/2019	 December 	2019	
United Kingdom	 Kensington 	3565	 $3.00 	 $125.00 	" $445,625.00 "	" $15,913.13 "	" $429,711.88 "	" $509,220.00 "	" $(79,508.13)"	4/1/2019	 April 	2019	
India	 Kensington 	1401	 $3.00 	 $20.00 	" $28,020.00 "	" $1,548.00 "	" $26,472.00 "	" $25,800.00 "	 $672.00 	4/1/2019	 April 	2019	
India	 Kensington 	2077	 $3.00 	 $300.00 	" $623,100.00 "	" $6,201.00 "	" $616,899.00 "	" $172,250.00 "	" $444,649.00 "	6/1/2019	 June 	2019	
United States of America	 Kensington 	3643	 $3.00 	 $12.00 	" $43,716.00 "	 $700.92 	" $43,015.08 "	" $5,841.00 "	" $37,174.08 "	9/1/2019	 September 	2019	
Japan	 Kensington 	1105	 $3.00 	 $12.00 	" $13,260.00 "	 $326.88 	" $12,933.12 "	" $2,724.00 "	" $10,209.12 "	12/1/2018	 December 	2018	
India	 Royal Oak 	2960	 $5.00 	 $7.00 	" $20,720.00 "	 $411.18 	" $20,308.82 "	" $9,790.00 "	" $10,518.82 "	2/1/2019	 February 	2019	
United Kingdom	 Royal Oak 	1201	 $5.00 	 $12.00 	" $14,412.00 "	 $684.36 	" $13,727.64 "	" $5,703.00 "	" $8,024.64 "	6/1/2019	 June 	2019	
